id_employee,age,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_actuelle,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,augmentation_salaire_precedente,score_evolution_carriere,indice_evolution_salaire,frequence_deplacement,salaire_cat,salaire_cat_eq,position_salaire_poste,position_salaire_poste_anc,score_carriere_cat,indice_evol_cat,statut_marital,domaine_etude,poste_departement,genre,heure_supplementaires,nouveau_responsable,attrition_num
41,30,2206,1,10,10,0,4,3,2,1,3,1,3,0,5,9,2,1,8,13,4.5496395445785,6.5000005,Occasionnel,Très bas,Très bas,Très bas,Bas,Bas,Bas,Célibataire,Transformation Digitale,Consultant_Consulting,M,Non,Non,0
42,39,2086,3,19,1,0,4,3,3,2,4,3,4,1,6,5,3,0,0,14,53.504384171281856,14.000001,Occasionnel,Très bas,Très bas,Très bas,Bas,Haut,Haut,Marié(e),Entrepreunariat,Représentant Commercial_Commercial,M,Non,Oui,1
45,24,2293,2,6,2,0,2,3,3,1,4,1,2,1,2,1,3,2,0,16,13.75653827789793,5.333333666666667,Occasionnel,Très bas,Très bas,Très bas,Bas,Moyen,Bas,Marié(e),Transformation Digitale,Assistant de Direction_Consulting,M,Oui,Oui,1
46,43,2645,1,6,5,3,4,3,4,1,3,4,2,2,3,2,2,1,4,12,7.8808050014085955,6.0000005,Occasionnel,Très bas,Très bas,Bas,Bas,Bas,Bas,Divorcé(e),Transformation Digitale,Assistant de Direction_Consulting,F,Non,Non,0
47,50,2683,1,3,3,2,1,3,2,1,3,3,3,0,2,3,2,0,2,14,27.632724217086377,14.000001,Occasionnel,Très bas,Très bas,Haut,Haut,Haut,Haut,Marié(e),Marketing,Représentant Commercial_Commercial,M,Oui,Non,1
49,35,2014,1,2,2,2,4,3,3,1,4,1,3,0,3,2,3,2,2,13,10.989875086147183,4.333333666666666,Occasionnel,Très bas,Très bas,Très bas,Très bas,Bas,Bas,Marié(e),Marketing,Représentant Commercial_Commercial,F,Non,Non,0
51,36,3419,9,6,1,1,2,3,2,1,1,4,4,1,3,5,4,0,0,14,56.96177487909447,14.000001,Occasionnel,Bas,Très bas,Haut,Haut,Haut,Haut,Marié(e),Infra & Cloud,Assistant de Direction_Consulting,F,Oui,Oui,0
52,33,5376,2,10,5,3,3,3,4,2,1,1,3,2,3,1,3,1,3,19,13.600653354105813,9.5000005,Frequent,Haut,Très bas,Bas,Bas,Moyen,Moyen,Marié(e),Infra & Cloud,Cadre Commercial_Commercial,F,Non,Non,0
53,35,1951,1,1,1,0,3,3,3,1,4,3,3,1,3,4,2,0,0,12,45.45966239014311,12.000001,Occasionnel,Très bas,Très bas,Très bas,Très bas,Haut,Moyen,Divorcé(e),Autre,Consultant_Consulting,M,Non,Oui,0
54,27,2341,1,1,1,0,4,3,3,1,1,4,3,1,6,2,4,0,0,13,50.43194741640507,13.000001,Occasionnel,Très bas,Très bas,Très bas,Bas,Haut,Moyen,Divorcé(e),Infra & Cloud,Consultant_Consulting,F,Non,Oui,0
55,26,2293,1,1,1,0,1,3,1,1,3,3,2,0,2,25,3,0,1,12,46.42831765516204,12.000001,Occasionnel,Très bas,Très bas,Très bas,Bas,Haut,Moyen,Célibataire,Infra & Cloud,Consultant_Consulting,M,Non,Non,1
56,27,8726,1,9,9,8,4,3,3,3,3,4,3,0,0,8,3,1,7,15,6.805633164081331,7.5000005,Frequent,Moyen,Bas,Moyen,Haut,Bas,Bas,Célibataire,Infra & Cloud,Cadre Commercial_Commercial,M,Non,Non,0
57,30,4011,1,12,12,8,3,4,3,2,4,4,3,0,2,1,2,3,7,23,3.6698470524216766,5.75000025,Frequent,Bas,Très bas,Moyen,Haut,Bas,Bas,Célibataire,Transformation Digitale,Consultant_Consulting,F,Non,Non,0
58,41,19545,1,23,22,15,2,3,3,5,3,4,3,0,0,12,3,15,8,12,0.3221910901394329,0.7500000625,Occasionnel,Moyen,Haut,Moyen,Moyen,Très bas,Très bas,Marié(e),Entrepreunariat,Directeur Technique_Consulting,F,Non,Non,1
60,34,4568,0,10,9,5,2,4,3,2,3,3,3,0,2,23,4,8,7,20,1.8726777917590567,2.2222223333333333,Aucun,Bas,Très bas,Très bas,Très bas,Très bas,Très bas,Célibataire,Marketing,Cadre Commercial_Commercial,M,Non,Non,0
61,37,3022,4,8,1,0,2,4,3,1,2,1,3,0,1,19,2,0,0,21,84.14705645218682,21.000001,Occasionnel,Bas,Très bas,Haut,Moyen,Haut,Haut,Marié(e),Infra & Cloud,Assistant de Direction_Consulting,M,Non,Oui,0
62,46,5772,4,14,9,6,1,4,3,2,4,3,3,0,4,5,4,0,8,21,18.18798989172268,21.000001,Frequent,Haut,Bas,Bas,Haut,Moyen,Haut,Célibataire,Marketing,Cadre Commercial_Commercial,M,Oui,Non,0
63,35,2269,1,1,1,0,4,3,4,1,4,4,3,0,2,8,1,0,1,19,73.41158741328431,19.000001,Occasionnel,Très bas,Très bas,Très bas,Bas,Haut,Haut,Marié(e),Infra & Cloud,Consultant_Consulting,M,Non,Non,0
64,48,5381,9,23,1,0,1,3,2,3,3,4,3,0,2,1,2,0,0,13,55.840303948772195,13.000001,Occasionnel,Haut,Très bas,Moyen,Moyen,Haut,Moyen,Célibataire,Infra & Cloud,Consultant_Consulting,M,Oui,Oui,1
65,28,3441,1,2,2,2,3,3,3,1,3,3,2,0,3,5,4,2,2,13,11.763279093537474,4.333333666666666,Occasionnel,Bas,Très bas,Haut,Haut,Moyen,Bas,Célibataire,Entrepreunariat,Consultant_Consulting,M,Oui,Non,1
68,44,5454,5,9,4,3,2,4,3,2,1,3,2,1,2,1,5,1,3,21,18.069005446789856,10.5000005,Occasionnel,Haut,Très bas,Bas,Bas,Moyen,Moyen,Divorcé(e),Marketing,Cadre Commercial_Commercial,F,Oui,Non,0
70,35,9884,2,10,4,0,3,3,2,3,1,3,3,1,3,11,2,2,3,13,7.972271184109005,4.333333666666666,Aucun,Moyen,Bas,Moyen,Moyen,Bas,Bas,Marié(e),Transformation Digitale,Manager_Consulting,M,Oui,Non,0
72,26,4157,7,5,2,2,3,3,2,2,4,3,2,1,2,23,3,0,0,19,52.77433607757689,19.000001,Occasionnel,Bas,Très bas,Très bas,Très bas,Haut,Haut,Marié(e),Marketing,Cadre Commercial_Commercial,F,Oui,Oui,0
73,33,13458,1,15,15,14,1,3,3,3,4,3,3,0,1,1,2,8,12,12,0.7922836748764437,1.3333334444444445,Frequent,Moyen,Moyen,Très bas,Haut,Très bas,Très bas,Célibataire,Infra & Cloud,Directeur Technique_Consulting,F,Oui,Non,0
74,35,9069,1,9,9,8,2,4,3,3,1,4,2,1,3,18,5,1,8,22,10.024000753056477,11.0000005,Frequent,Moyen,Bas,Moyen,Haut,Bas,Moyen,Marié(e),Infra & Cloud,Cadre Commercial_Commercial,M,Non,Non,0
75,35,4014,3,4,2,2,3,3,3,1,1,3,3,1,3,23,4,2,2,15,13.829655299278393,5.000000333333333,Occasionnel,Bas,Très bas,Moyen,Moyen,Moyen,Bas,Marié(e),Transformation Digitale,Consultant_Consulting,F,Oui,Non,0
76,31,5915,3,10,7,7,4,4,3,2,4,4,2,1,3,7,4,1,7,22,11.942447300605687,11.0000005,Occasionnel,Haut,Bas,Moyen,Moyen,Moyen,Moyen,Divorcé(e),Infra & Cloud,Consultant_Consulting,M,Non,Non,0
77,37,5993,1,7,7,5,1,3,2,2,3,3,4,1,2,1,4,0,7,18,19.571658145036654,18.000001,Occasionnel,Haut,Bas,Bas,Très bas,Moyen,Haut,Divorcé(e),Infra & Cloud,Tech Lead_Consulting,M,Non,Non,0
78,32,6162,1,9,9,8,1,4,3,2,4,2,3,1,3,1,3,7,8,22,2.3997378205936037,2.750000125,Occasionnel,Haut,Bas,Bas,Très bas,Très bas,Très bas,Marié(e),Transformation Digitale,Tech Lead_Consulting,M,Oui,Non,0
79,38,2406,1,10,10,3,4,3,3,2,4,4,3,0,2,29,5,9,9,11,0.7786137145613656,1.1000001,Frequent,Très bas,Très bas,Bas,Très bas,Très bas,Très bas,Célibataire,Infra & Cloud,Consultant_Consulting,F,Non,Non,0
80,50,18740,5,29,27,3,2,3,2,5,3,4,2,1,2,7,2,13,8,12,0.3011776449806353,0.8571429285714285,Occasionnel,Moyen,Haut,Haut,Moyen,Très bas,Très bas,Divorcé(e),Transformation Digitale,Directeur Technique_Consulting,F,Oui,Non,0
81,59,7637,7,28,21,16,1,3,3,3,1,4,2,0,3,25,3,7,9,11,0.5588057425371088,1.375000125,Occasionnel,Haut,Bas,Haut,Moyen,Très bas,Très bas,Célibataire,Infra & Cloud,Cadre Commercial_Commercial,F,Non,Non,0
83,36,10096,1,17,17,14,3,3,3,3,3,2,3,3,2,8,3,12,8,13,0.5122219076796999,1.0000000769230768,Occasionnel,Moyen,Bas,Moyen,Moyen,Très bas,Très bas,Divorcé(e),Entrepreunariat,Manager_Consulting,F,Non,Non,0
84,55,14756,2,21,5,0,4,3,3,4,3,3,3,3,2,8,3,0,2,14,22.398771525993517,14.000001,Occasionnel,Moyen,Moyen,Très bas,Très bas,Haut,Haut,Divorcé(e),Transformation Digitale,Senior Manager_Consulting,F,Oui,Non,0
85,36,6499,1,6,6,5,2,3,2,2,2,3,3,0,3,11,3,0,3,13,16.304893672292273,13.000001,Frequent,Haut,Bas,Haut,Haut,Moyen,Moyen,Célibataire,Infra & Cloud,Tech Lead_Consulting,M,Non,Non,0
86,45,9724,2,25,1,0,2,3,3,3,1,3,3,1,2,7,3,0,0,17,78.05087352336409,17.000001,Occasionnel,Moyen,Bas,Moyen,Moyen,Haut,Haut,Divorcé(e),Infra & Cloud,Assistant de Direction_Consulting,M,Non,Oui,0
88,35,2194,4,5,3,2,2,3,3,1,1,4,2,1,2,1,3,1,2,13,12.502649115694732,6.5000005,Frequent,Très bas,Très bas,Très bas,Très bas,Moyen,Bas,Marié(e),Transformation Digitale,Assistant de Direction_Consulting,M,Non,Non,0
90,36,3388,0,2,1,0,4,3,2,1,3,1,2,1,0,9,3,0,0,17,69.09047052280503,17.000001,Occasionnel,Bas,Très bas,Haut,Moyen,Haut,Haut,Marié(e),Transformation Digitale,Assistant de Direction_Consulting,M,Oui,Oui,1
91,59,5473,7,20,4,3,1,3,2,2,3,4,2,0,2,1,1,1,3,11,9.468542239337175,5.5000005,Frequent,Haut,Très bas,Bas,Bas,Bas,Bas,Célibataire,Infra & Cloud,Cadre Commercial_Commercial,F,Non,Non,0
94,29,2703,0,6,5,4,3,4,3,1,2,4,3,1,3,2,3,0,4,23,30.292869826205518,23.000001,Occasionnel,Très bas,Très bas,Bas,Bas,Haut,Haut,Marié(e),Infra & Cloud,Assistant de Direction_Consulting,M,Non,Non,0
95,31,2501,1,1,1,1,3,3,3,1,2,2,3,0,4,1,4,1,0,17,33.255596143075564,8.5000005,Occasionnel,Très bas,Très bas,Bas,Bas,Haut,Moyen,Célibataire,Transformation Digitale,Assistant de Direction_Consulting,M,Non,Oui,0
96,32,6220,1,10,10,4,2,3,3,2,2,2,3,2,3,1,3,0,9,17,13.50060634476739,17.000001,Occasionnel,Haut,Bas,Moyen,Moyen,Moyen,Haut,Marié(e),Infra & Cloud,Assistant de Direction_Consulting,M,Non,Non,0
97,36,3038,3,5,1,0,2,3,4,1,4,2,3,0,3,6,3,0,0,12,48.115706767142655,12.000001,Occasionnel,Bas,Très bas,Haut,Haut,Haut,Moyen,Marié(e),Infra & Cloud,Consultant_Consulting,F,Non,Oui,0
98,31,4424,1,11,11,7,3,4,3,2,4,4,3,0,2,8,4,1,8,23,8.045233175674678,11.5000005,Occasionnel,Bas,Très bas,Très bas,Très bas,Bas,Moyen,Célibataire,Infra & Cloud,Tech Lead_Consulting,F,Non,Non,0
100,35,4312,0,16,15,13,3,3,2,2,1,2,3,0,2,1,4,2,8,14,2.4410719650512247,4.6666669999999995,Occasionnel,Bas,Très bas,Très bas,Très bas,Très bas,Bas,Célibataire,Marketing,Cadre Commercial_Commercial,M,Non,Non,0
101,45,13245,4,17,0,0,4,3,3,3,1,2,4,0,3,6,4,0,0,14,132.88032207807984,14.000001,Occasionnel,Moyen,Moyen,Très bas,Très bas,Haut,Haut,Marié(e),Autre,Directeur Technique_Consulting,M,Oui,Oui,0
102,37,13664,4,16,5,2,1,3,3,3,3,1,4,0,3,7,4,0,2,13,20.632286633550216,13.000001,Occasionnel,Moyen,Moyen,Bas,Très bas,Moyen,Moyen,Célibataire,Transformation Digitale,Directeur Technique_Consulting,M,Non,Non,0
103,46,5021,8,16,4,2,2,4,3,2,2,4,3,1,2,5,2,0,2,22,37.49496927907384,22.000001,Occasionnel,Haut,Très bas,Haut,Moyen,Haut,Haut,Divorcé(e),Transformation Digitale,Ressources Humaines_Ressources Humaines,M,Oui,Non,0
104,30,5126,1,10,10,8,4,3,2,2,4,3,2,2,1,1,1,3,0,12,2.3297118228109177,3.00000025,Occasionnel,Haut,Très bas,Moyen,Haut,Très bas,Très bas,Marié(e),Infra & Cloud,Consultant_Consulting,M,Oui,Oui,0
105,35,2859,1,6,6,4,2,3,2,1,3,1,3,0,3,1,3,0,4,18,20.464913175318152,18.000001,Occasionnel,Très bas,Très bas,Bas,Bas,Moyen,Haut,Célibataire,Transformation Digitale,Assistant de Direction_Consulting,M,Non,Non,0
106,55,10239,3,24,1,0,1,3,3,3,4,4,3,1,4,1,2,1,0,14,32.31920145359147,7.0000005,Occasionnel,Moyen,Bas,Moyen,Moyen,Haut,Bas,Marié(e),Infra & Cloud,Cadre Commercial_Commercial,M,Non,Oui,0
107,38,5329,7,17,13,11,2,3,1,2,4,4,3,3,3,6,3,1,9,12,3.6776173852508998,6.0000005,Aucun,Haut,Très bas,Moyen,Moyen,Bas,Bas,Divorcé(e),Transformation Digitale,Assistant de Direction_Consulting,F,Oui,Non,0
110,34,4325,1,5,5,2,1,3,3,2,2,3,3,0,2,1,2,1,3,15,10.465498955841136,7.5000005,Occasionnel,Bas,Très bas,Très bas,Très bas,Bas,Bas,Marié(e),Transformation Digitale,Tech Lead_Consulting,M,Non,Non,0
112,56,7260,4,37,6,4,4,3,1,3,4,1,2,0,3,7,3,0,2,11,13.970430017636506,11.000001,Occasionnel,Haut,Bas,Haut,Haut,Moyen,Moyen,Célibataire,Infra & Cloud,Tech Lead_Consulting,M,Non,Non,0
113,23,2322,3,3,0,0,3,3,3,1,1,3,3,1,3,2,1,0,0,13,100.75799927663004,13.000001,Occasionnel,Très bas,Très bas,Bas,Haut,Haut,Moyen,Divorcé(e),Entrepreunariat,Représentant Commercial_Commercial,M,Non,Oui,0
116,51,2075,3,10,4,2,4,4,3,1,4,2,3,2,4,9,4,0,3,23,35.135713451354235,23.000001,Occasionnel,Très bas,Très bas,Très bas,Très bas,Haut,Haut,Marié(e),Infra & Cloud,Consultant_Consulting,M,Non,Non,0
117,30,4152,1,11,11,10,3,3,2,2,4,1,3,3,3,2,3,10,8,19,1.19924353758008,1.7272728181818182,Occasionnel,Bas,Très bas,Très bas,Très bas,Très bas,Très bas,Marié(e),Infra & Cloud,Manager_Consulting,M,Non,Non,0
118,46,9619,1,9,9,8,3,3,2,3,4,4,3,0,3,9,2,4,7,16,2.934912037403112,3.2000002000000003,Occasionnel,Moyen,Bas,Moyen,Haut,Très bas,Très bas,Célibataire,Transformation Digitale,Cadre Commercial_Commercial,M,Non,Non,1
119,40,13503,1,22,22,3,3,4,2,4,2,4,2,1,3,1,4,11,11,22,0.7581025952214763,1.8333334166666668,Frequent,Moyen,Moyen,Moyen,Moyen,Très bas,Très bas,Marié(e),Infra & Cloud,Manager_Consulting,M,Non,Non,0
120,51,5441,0,11,10,7,3,4,3,2,4,4,1,0,2,21,4,1,0,22,8.601902310338733,11.0000005,Occasionnel,Haut,Très bas,Bas,Bas,Bas,Moyen,Célibataire,Marketing,Cadre Commercial_Commercial,M,Oui,Oui,0
121,30,5209,1,11,11,8,3,3,2,2,2,2,2,3,4,4,2,2,7,12,2.852778615980669,4.000000333333333,Occasionnel,Haut,Très bas,Bas,Très bas,Très bas,Très bas,Divorcé(e),Transformation Digitale,Cadre Commercial_Commercial,F,Oui,Non,0
124,46,10673,2,21,10,9,3,3,2,3,1,3,2,1,5,1,3,9,5,13,1.0962033574107883,1.3000000999999999,Frequent,Moyen,Moyen,Moyen,Moyen,Très bas,Très bas,Marié(e),Transformation Digitale,Manager_Consulting,M,Oui,Non,0
125,32,5010,1,12,11,8,2,3,3,2,3,1,3,0,0,6,4,5,7,16,1.893198068315922,2.6666668333333337,Occasionnel,Haut,Très bas,Très bas,Très bas,Très bas,Très bas,Célibataire,Transformation Digitale,Cadre Commercial_Commercial,M,Non,Non,0
126,54,13549,9,16,4,3,1,3,3,3,3,1,1,1,5,2,4,0,3,12,22.8339422859672,12.000001,Occasionnel,Moyen,Moyen,Bas,Très bas,Haut,Moyen,Marié(e),Entrepreunariat,Directeur Technique_Consulting,F,Non,Non,0
128,24,4999,0,4,3,2,1,4,3,2,3,1,2,1,2,3,2,0,2,21,44.71526638423355,21.000001,Occasionnel,Haut,Très bas,Très bas,Bas,Haut,Haut,Marié(e),Autre,Cadre Commercial_Commercial,F,Non,Non,0
129,28,4221,1,5,5,4,2,3,3,2,3,2,4,0,3,4,3,0,4,15,20.870161962364698,15.000001,Aucun,Bas,Très bas,Très bas,Très bas,Moyen,Haut,Marié(e),Transformation Digitale,Cadre Commercial_Commercial,M,Non,Non,0
131,58,13872,0,38,37,10,4,3,3,4,3,3,2,0,1,10,4,1,8,13,1.6314487727730158,6.5000005,Occasionnel,Moyen,Moyen,Moyen,Moyen,Très bas,Bas,Célibataire,Transformation Digitale,Cadre Commercial_Commercial,M,Non,Non,0
132,44,2042,4,17,3,2,2,3,3,2,2,3,4,1,3,23,3,1,2,12,11.433262844998257,6.0000005,Aucun,Très bas,Très bas,Très bas,Très bas,Bas,Bas,Marié(e),Transformation Digitale,Consultant_Consulting,M,Non,Non,0
133,37,2073,4,7,3,2,3,4,3,1,1,4,3,0,3,6,4,0,2,22,42.0047910476507,22.000001,Occasionnel,Très bas,Très bas,Très bas,Très bas,Haut,Haut,Divorcé(e),Ressources Humaines,Ressources Humaines_Ressources Humaines,M,Oui,Non,1
134,32,2956,1,1,1,0,4,3,3,1,1,4,3,0,2,1,1,0,0,13,51.94755237500636,13.000001,Occasionnel,Bas,Très bas,Haut,Haut,Haut,Moyen,Célibataire,Infra & Cloud,Assistant de Direction_Consulting,M,Non,Oui,0
